species,dropped_tips
Arthroclianthus_sanguineus,Arthroclianthus_sanguineus
Artocarpus_anisophyllus_subsp_anisophyllus,Artocarpus_anisophyllus_subsp_anisophyllus
Artocarpus_nanchuanensis,Artocarpus_nanchuanensis
Artocarpus_nitidus_subsp_borneensis,Artocarpus_nitidus_subsp_borneensis
Artocarpus_nitidus_subsp_griffithii,Artocarpus_nitidus_subsp_griffithii
Artocarpus_nitidus_subsp_humilis,Artocarpus_nitidus_subsp_humilis
Artocarpus_nitidus_subsp_lingnanensis,Artocarpus_nitidus_subsp_lingnanensis
Artocarpus_primackii,Artocarpus_primackii
Aruncus_aethusifolius,Aruncus_aethusifolius
Asemeia_monninoides,Asemeia_monninoides
Asemeia_violacea,Asemeia_violacea
Aspalathus_aemula,Aspalathus_aemula
Aspalathus_arida_subsp_procumbens,Aspalathus_arida_subsp_procumbens
Aspalathus_cephalotes_subsp_violacea,Aspalathus_cephalotes_subsp_violacea
Aspalathus_cliffortioides,Aspalathus_cliffortioides
Aspalathus_hirta_subsp_hirta,Aspalathus_hirta_subsp_hirta
Aspalathus_neglecta,Aspalathus_neglecta
Aspalathus_opaca_subsp_opaca,Aspalathus_opaca_subsp_opaca
Aspalathus_perfoliata_subsp_phillipsii,Aspalathus_perfoliata_subsp_phillipsii
Aspalathus_polycephala_subsp_rigida,Aspalathus_polycephala_subsp_rigida
Aspalathus_quinquefolia_subsp_quinquefolia,Aspalathus_quinquefolia_subsp_quinquefolia
Aspalathus_retroflexa_subsp_bicolor,Aspalathus_retroflexa_subsp_bicolor
Aspalathus_retroflexa_subsp_retroflexa,Aspalathus_retroflexa_subsp_retroflexa
Aspalathus_spinescens_subsp_lepida,Aspalathus_spinescens_subsp_lepida
Aspalathus_spinosa_subsp_spinosa,Aspalathus_spinosa_subsp_spinosa
Aspalathus_subtingens,Aspalathus_subtingens
Astracantha_diphtherites,Astracantha_diphtherites
Astragalus_acantherioceras,Astragalus_acantherioceras
Astragalus_acanthochristianopsis,Astragalus_acanthochristianopsis
Astragalus_afghanomontanus,Astragalus_afghanomontanus
Astragalus_akhundzadahensis,Astragalus_akhundzadahensis
Astragalus_alaschanus,Astragalus_alaschanus
Astragalus_alitschuri,Astragalus_alitschuri
Astragalus_alvordensis,Astragalus_alvordensis
Astragalus_amygdalinus,Astragalus_amygdalinus
Astragalus_anguranensis,Astragalus_anguranensis
Astragalus_angustissimus,Astragalus_angustissimus
Astragalus_ansinii,Astragalus_ansinii
Astragalus_antalyensis,Astragalus_antalyensis
Astragalus_austromahneshanensis,Astragalus_austromahneshanensis
Astragalus_babatagii,Astragalus_babatagii
Astragalus_bachmarensis,Astragalus_bachmarensis
Astragalus_baghlanensis,Astragalus_baghlanensis
Astragalus_bakaliensis,Astragalus_bakaliensis
Astragalus_baldshuanicus,Astragalus_baldshuanicus
Astragalus_baranovii,Astragalus_baranovii
Astragalus_bashmaghensis,Astragalus_bashmaghensis
Astragalus_baxoiensis,Astragalus_baxoiensis
Astragalus_bifoliolatus,Astragalus_bifoliolatus
Astragalus_botryophorus,Astragalus_botryophorus
Astragalus_brevicalycinus,Astragalus_brevicalycinus
Astragalus_bucharicus,Astragalus_bucharicus
Astragalus_caprinus_subsp_caprinus,Astragalus_caprinus_subsp_caprinus
Astragalus_chartostegius,Astragalus_chartostegius
Astragalus_chrysomallus,Astragalus_chrysomallus
Astragalus_ciloensis,Astragalus_ciloensis
Astragalus_cognatus,Astragalus_cognatus
Astragalus_confertiformis,Astragalus_confertiformis
Astragalus_confiniorum,Astragalus_confiniorum
Astragalus_coronilla,Astragalus_coronilla
Astragalus_dactylocarpus_subsp_dactylocarpus,Astragalus_dactylocarpus_subsp_dactylocarpus
Astragalus_daenensis,Astragalus_daenensis
Astragalus_deickianus,Astragalus_deickianus
Astragalus_delutulus,Astragalus_delutulus
Astragalus_dendroproselius,Astragalus_dendroproselius
Astragalus_distentus,Astragalus_distentus
Astragalus_doghrunensis,Astragalus_doghrunensis
Astragalus_eburneus,Astragalus_eburneus
Astragalus_echanensis,Astragalus_echanensis
Astragalus_edmondstonei,Astragalus_edmondstonei
Astragalus_ehrenbergii,Astragalus_ehrenbergii
Astragalus_endopterus,Astragalus_endopterus
Astragalus_eremophilus_subsp_eremophilus,Astragalus_eremophilus_subsp_eremophilus
Astragalus_eriosphaerus,Astragalus_eriosphaerus
Astragalus_facetus,Astragalus_facetus
Astragalus_farctissimus,Astragalus_farctissimus
Astragalus_farsicus,Astragalus_farsicus
Astragalus_ferruminatus,Astragalus_ferruminatus
Astragalus_flexilipes,Astragalus_flexilipes
Astragalus_georgii,Astragalus_georgii
Astragalus_gevashensis,Astragalus_gevashensis
Astragalus_glabrescens,Astragalus_glabrescens
Astragalus_glycyphyllos_subs._glycyphyllos,Astragalus_glycyphyllos_subs._glycyphyllos
Astragalus_gypsocola,Astragalus_gypsocola
Astragalus_hemsleyi,Astragalus_hemsleyi
Astragalus_heptapotamicus,Astragalus_heptapotamicus
Astragalus_heterodoxus,Astragalus_heterodoxus
Astragalus_hoantchy,Astragalus_hoantchy
Astragalus_ibicinus,Astragalus_ibicinus
Astragalus_indurescens,Astragalus_indurescens
Astragalus_ischredensis,Astragalus_ischredensis
Astragalus_iskanderi,Astragalus_iskanderi
Astragalus_juladakensis,Astragalus_juladakensis
Astragalus_kadshorensis,Astragalus_kadshorensis
Astragalus_kasachstanicus,Astragalus_kasachstanicus
Astragalus_kaschkadarjensis,Astragalus_kaschkadarjensis
Astragalus_kashmarensis,Astragalus_kashmarensis
Astragalus_kelifi,Astragalus_kelifi
Astragalus_keredjensis,Astragalus_keredjensis
Astragalus_knightii,Astragalus_knightii
Astragalus_koelzii,Astragalus_koelzii
Astragalus_krauseanus,Astragalus_krauseanus
Astragalus_kulabensis,Astragalus_kulabensis
Astragalus_kurdaicus,Astragalus_kurdaicus
Astragalus_kuschakewiczii,Astragalus_kuschakewiczii
Astragalus_lasiostylus,Astragalus_lasiostylus
Astragalus_limariensis,Astragalus_limariensis
Astragalus_litwinowii,Astragalus_litwinowii
Astragalus_longipetiolatus,Astragalus_longipetiolatus
Astragalus_lumsdenianus,Astragalus_lumsdenianus
Astragalus_macrocephalus_subsp_macrocephalus,Astragalus_macrocephalus_subsp_macrocephalus
Astragalus_macrocladus,Astragalus_macrocladus
Astragalus_macropelmatus_subsp_macropelmatus,Astragalus_macropelmatus_subsp_macropelmatus
Astragalus_makuensis,Astragalus_makuensis
Astragalus_masanderanus,Astragalus_masanderanus
Astragalus_maverranagri,Astragalus_maverranagri
Astragalus_meanus,Astragalus_meanus
Astragalus_meschhedensis,Astragalus_meschhedensis
Astragalus_meyeri,Astragalus_meyeri
Astragalus_microcalycinus,Astragalus_microcalycinus
Astragalus_migpo,Astragalus_migpo
Astragalus_minutidentatus,Astragalus_minutidentatus
Astragalus_monophyllus,Astragalus_monophyllus
Astragalus_mozaffarianii,Astragalus_mozaffarianii
Astragalus_mugosaricus,Astragalus_mugosaricus
Astragalus_multifoliolatus,Astragalus_multifoliolatus
Astragalus_muschketovii,Astragalus_muschketovii
Astragalus_namanganicus,Astragalus_namanganicus
Astragalus_neoassadianus,Astragalus_neoassadianus
Astragalus_neomonadelphus,Astragalus_neomonadelphus
Astragalus_neurophyllus,Astragalus_neurophyllus
Astragalus_nicolai,Astragalus_nicolai
Astragalus_nigricans,Astragalus_nigricans
Astragalus_nubicola,Astragalus_nubicola
Astragalus_nummularius_subsp_trichopterus,Astragalus_nummularius_subsp_trichopterus
Astragalus_oldenburgii,Astragalus_oldenburgii
Astragalus_orbiculatus,Astragalus_orbiculatus
Astragalus_ovalis,Astragalus_ovalis
Astragalus_oviger,Astragalus_oviger
Astragalus_pachyrachis,Astragalus_pachyrachis
Astragalus_pakravaniae,Astragalus_pakravaniae
Astragalus_pauxillis,Astragalus_pauxillis
