Names	Index
Astragalus_tarumensis	37.5
Cyclanthera_minima	163.581
Lonchocarpus_punctatus	153.25
Rubus_compactus	375
Crudia_aromatica	165.6
Galactia_sinensis	67
Begonia_tribenensis	60.5
Lupinus_madrensis	258.062
Moullava_digyna	187.963
Sieversia_montana	237.5
Sageretia_brandrethiana	81
Calliandra_surinamensis	60.6667
Inga_killipiana	199
Dalbergia_assamica	171.5
Inga_carinata	195.667
Urtica_perconfusa	253.625
Acacia_cremiflora	140.798
Alnus_ferruginea	194
Mimosa_myuros	106.5
Zehneria_scabra	195.604
Pilea_glabra	258.186
Daviesia_tortuosa	36.1818
Bauhinia_dumosa_var_viscidula	104.158
Potentilla_obovatifolia	0
Trigonella_striata	0
Acacia_gonocarpa	81.2615
Phyllodium_longipes	162.667
Lotononis_calycina	111.372
Piscidia_havanensis	0
Desmodium_sericeum	177
Quercus_chrysotricha	270.143
Acacia_mangium	124.982
Vachellia_reficiens	62.4286
Polygala_alba	117.459
Astragalus_asotinensis	71.5
Ficus_cyathistipula	185.257
Bauhinia_cujabensis	43
Mimosa_myriadenia	150.13
Trifolium_scabrum	173.433
Pterocarpus_rufescens	0
Rubus_stellatus	231
Alchemilla_undulata	424.164
Senna_petersiana	84
Astragalus_brachycarpus	180.125
Platysepalum_violaceum	136.188
Baphia_dewevrei_subsp_marceliana	110.15
Lotus_corniculatus	324.811
Nothofagus_resinosa	188.5
Urtica_chamaedryoides	173.016
Schizolobium_parahyba	214.761
Lupinus_chipaquensis	185.5
Ficus_subglabritepala	242.5
Robynsiophyton_vanderystii	99.2
Astragalus_leptocarpus	85.0515
Trifolium_dalmaticum	162.23
Schefflerodendron_adenopetalum	110.625
Swartzia_dipetala	117.4
Elatostema_diversifolium	302.5
Ficus_bonijesulapensis	99.5172
Cliffortia_paucistaminea	146.848
Psoralea_glaucescens	75.7059
Chamaecrista_linearifolia_var_bradei	79
Lonchocarpus_heptaphyllus	146.6
Calliandra_selloi	188.292
Fatoua_japonica	101.5
Rubus_jacens	0
Castanopsis_faberi	227.456
Coussapoa_parvifolia	162.947
Lotus_glinoides	57.25
Archidendron_glomeriflorum	262.357
Bauhinia_maximilianii	179.208
Elatostema_eriocephalum	220
Astragalus_kudrjaschovii	65
Calliandra_obesifolia	128
Chamaecrista_nictitans_var_diffusa	0
Rupertia_rigida	101.717
Baphia_obanensis	141.6
Galactia_smallii	509.5
Cucumis_sagittatus	66.3188
Horkelia_parryi	79.5
Chamaecrista_strictula	0
Lupinus_glabratus	0
Elaterium_amazonicum	176.5
Dendrolobium_quinquepetalum	86.5
Austrosteenisia_glabristyla	193.528
Medicago_radiata	0
Urera_hypselodendron	221.817
Machaerium_goudotii	79.5
Acacia_pointeri	55.5
Astragalus_tweedyi	91.4643
Crotalaria_tenuirostrata	35.5
Begonia_tawaensis	101.5
Astragalus_cariensis	226.245
Erythrina_santamartensis	144.5
Nothofagus_nervosa	159.5
Begonia_trispathulata	249.188
Acacia_gilesiana	40.0593
Bauhinia_brevipes	106.091
Acacia_robinae	21
Rhynchosia_himalensis	109
Smithia_bigemina	129
Coussapoa_fulvescens	57.5
Alchemilla_sprucei	277.25
Sarcochlamys_pulcherrima	231.143
