species,DR
Obetia_carruthersiana,0.40505582784848
Urera_sandvicensis,0.434958820794368
Touchardia_latifolia,0.434958820794368
Urera_kaalae,0.302536395745165
Laportea_aestuans,0.211166311419588
Laportea_ovalifolia,0.187851679767514
Laportea_mooreana,0.153991155466613
Laportea_ruderalis,0.270186368267039
Laportea_peduncularis,0.270186368267039
Urera_sandwicensis,0.316188039514084
Urera_glabra,0.316188039514084
Girardinia_diversifolia_subsp_triloba,0.441605773009499
Girardinia_diversifolia_subsp_suborbiculata,0.441605773009499
Girardinia_diversifolia_subsp_diversifolia,0.231864901178744
Girardinia_diversifolia,0.119973808252841
Elatostema_hirtellipedunculatum,0.808647328843802
Elatostema_suzukii,0.808647328843802
Elatostema_umbellatum,0.754189882453144
Elatostema_stewardii,0.754189882453144
Elatostema_japonicum,0.518914393995203
Elatostema_subcoriaceum,0.402565262608993
Elatostema_albopilosoides,0.325666964737943
Elatostema_microcephalanthum,0.803579698470365
Pellionia_brevifolia,0.803579698470365
Elatostema_ficoides,0.441697815302821
Elatostema_huanjiangense,0.41719584919349
Elatostema_sinopurpureum,0.41719584919349
Elatostema_monticola,1.04985069540383
Elatostema_goudotianum,1.04985069540383
Elatostema_madagascariense,0.660157604832014
Pilea_margarettae,0.379454859639733
Elatostema_hechiense,0.34554916883483
Elatostema_brachyodontum,0.308025228470962
Elatostema_binatum,0.264904335830799
Elatostema_oblongifolium,0.232449628812542
Elatostema_tenuicornutum,0.20269077682761
Elatostema_flumineorupestre,1.48948264869061
Elatostema_calcareum,1.48948264869061
Elatostema_lutescens,0.859160335718843
Elatostema_edule,0.480924327782172
Elatostema_morobense,0.663078657569946
Elatostema_pulchellum,0.663078657569946
Ficus_scott-elliotii,0.270783968042216
Elatostema_banahaense,0.264256950697786
Elatostema_curtisii,0.451407019040101
Elatostema_sinuatum,0.451407019040101
Elatostema_kraemeri,1.44317213639136
Elatostema_samoense,1.44317213639136
Elatostema_grandifolium,0.816598462078551
Elatostema_backeri,0.82708979189395
Elatostema_grande,0.82708979189395
Elatostema_purpureum,0.308180832395338
Elatostema_rubrostipulatum,0.308180832395338
Elatostema_villosum,0.366259038079358
Elatostema_strigillosum,0.366259038079358
Elatostema_acuteserratum,0.170914279635033
Elatostema_yakushimense,0.840865035963051
Elatostema_involucratum,0.840865035963051
Elatostema_hypoglaucum,0.759671764674386
Elatostema_laetevirens,0.759671764674386
Elatostema_lungzhouense,0.281785950075623
Elatostema_atroviride,0.343468488816234
Elatostema_longipes,0.343468488816234
Elatostema_pseudodissectum,0.275526232912627
Elatostema_tianeense,0.622631982238345
Elatostema_ichangense,0.622631982238345
Elatostema_myrtillus,0.358119966706891
Elatostema_coriaceifolium,0.348690856976002
Elatostema_asterocephalum,0.348690856976002
Elatostema_oligophlebium,0.215594222237142
Elatostema_sublineare,0.215594222237142
Elatostema_seemannianum,1.17230195792183
Elatostema_tenellum,1.17230195792183
Elatostema_palustre,0.748251472534253
Elatostema_insulare,0.904008253692886
Elatostema_fruticosum,0.904008253692886
Elatostema_rugosum,0.352112383164
Elatostema_stipitatum,0.734031862866786
Elatostema_reticulatum,0.734031862866786
Elatostema_nigrescens,0.464617223476694
Elatostema_penibukanense,0.209803775904057
Elatostema_lineare,0.193621492370098
Elatostema_bullatum,0.226283923159416
Elatostema_kabayense,0.226283923159416
Elatostema_platyphyllum,4.10374895515674
Elatostema_rivulare,4.10374895515674
Elatostema_hybrid_cultivar,2.43299384803312
Elatostema_platyphylloides,1.34266486546754
Pilea_pallida,0.708256434832858
Elatostema_longistipulum,0.399203353825646
Elatostema_lihengianum,0.266982991716498
Elatostema_gracilipes,0.750474471149723
Elatostema_beccarii,0.750474471149723
Elatostema_integrifolium,0.37531863735401
Elatostema_lineolatum,0.200086748621954
Elatostema_thalictroides,0.200086748621954
Elatostema_balansae,0.799058300814709
Elatostema_cyrtandrifolium,0.799058300814709
Elatostema_rupestre,0.410799545721923
Elatostema_shanglinense,0.238777028595621
Elatostema_cuspidatum,0.206690739960594
Elatostema_phanerophlebium,0.584322514823166
Elatostema_sessile,0.584322514823166
Elatostema_garrettii,0.914548139985419
Elatostema_molle,0.914548139985419
Elatostema_fengshanense,0.319499167178382
Elatostema_macintyrei,0.188459016719373
Elatostema_welwitschii,0.325778959135825
Debregeasia_orientalis,0.325778959135825
Elatostema_brevipedunculatum,0.288290216650022
Elatostema_laevissimum,0.288290216650022
Elatostema_gyrocephalum,0.851549770709654
Elatostema_atropurpureum,0.851549770709654
Elatostema_albopilosum,0.488290319292919
Elatostema_longibracteatum,0.335192318572285
Elatostema_petelotii,0.439305553255152
Elatostema_pedunculosum,0.439305553255152
Elatostema_tenuicaudatum,0.273116742962777
Elatostema_macrophyllum,0.293145795860896
Elatostema_acuminatum,0.293145795860896
Elatostema_hookerianum,0.834039970163836
Elatostema_imbricans,0.834039970163836
Elatostema_yaoshanense,0.86588572628677
Elatostema_nasutum,0.86588572628677
Elatostema_pusillum,0.546442082490097
Elatostema_monandrum,0.546442082490097
Elatostema_pseudocuspidatum,0.220015784603544
Elatostema_trilobulatum,0.289180365160853
Elatostema_obtusum,0.289180365160853
Elatostema_parvum,0.309507487188041
Elatostema_sinense,0.309507487188041
Elatostema_auriculatum,0.176201945970085
Elatostema_gibbsiae,0.138459080352505
Elatostema_pycnodontum,0.121244263707788
Elatostema_retrohirtum,0.0980040902255607
Elatostema_baiseense,0.718570430252884
Pellionia_radicans,0.718570430252884
Elatostema_trichocarpum,0.428550172664157
Pellionia_macrophylla,0.281185659604978
Pellionia_scabra,0.308261820803079
Elatostema_dissectum,0.308261820803079
Elatostema_cuneatum,0.0967614192421921
Elatostema_crassiusculum,0.128553837892594
Elatostema_densistriolatum,0.128553837892594
Procris_laevigata,2.69564248996919
Procris_wightiana,2.69564248996919
Procris_boninensis,1.34990084780683
Procris_goepeliana,0.729012655965287
Procris_crenata,0.534164750959637
Procris_archboldiana,0.524832420542059
Procris_montana,0.524832420542059
Procris_frutescens,0.73902041238603
Procris_insularis,0.73902041238603
Procris_ruhlandii,0.402153743403704
Pellionia_pulchra,0.406518657761729
Pellionia_repens,0.406518657761729
